title,link,points,comments,author,rank
Ex Police Officer Used Law Enforcement Tech to Hack Women’s Explicit Photos,https://www.leoweekly.com/2022/10/feds-ex-louisville-police-officer-used-law-enforcement-tech-to-help-hack-sexually-explicit-photos-from-women/,217,133,SamoyedFurFluff,1
Claims AI can boost workplace diversity are ‘spurious and dangerous’,https://www.cam.ac.uk/research/news/claims-ai-can-boost-workplace-diversity-are-spurious-and-dangerous-researchers-argue,77,77,laurex,2
Guthib,https://guthib.com/,213,84,sabas_ge,3
FDIC's Position on the Role of Vacation Policy as an Internal Safeguard (1995),https://www.fdic.gov/news/financial-institution-letters/1995/fil9552.html,70,39,mooreds,4
Litestream doesn't do SQLite replication anymore (LiteFS does),https://github.com/benbjohnson/litestream/pull/411,34,9,hardwaresofton,5
"How to Travel: On the cheap, like a local, and without a lot of luggage",https://walkingtheworld.substack.com/p/how-to-travel,147,150,brandrick,6
Postgres Full Text Search vs. the Rest,https://supabase.com/blog/postgres-full-text-search-vs-the-rest,61,21,kiwicopple,7
Microsoft Office 365 Message Encryption Insecure Mode of Operation,https://labs.withsecure.com/advisories/microsoft-office-365-message-encryption-insecure-mode-of-operation,58,23,Sami_Lehtinen,8
A Minimalist Guide To Program Synthesis,https://evanthebouncy.github.io/program-synthesis-minimal/,21,2,optimalsolver,9
Why I Don't Use Netscape (1999),https://www.complang.tuwien.ac.at/anton/why-ancient-browsers.html,198,185,artogahr,10
Largest open dataset of apartment models ever got published,https://zenodo.org/record/7070952,112,19,standfest,11
Using the Free Pascal IDE for a Week,https://cypherphunk.blogspot.com/2022/05/using-free-pascal-ide-for-week.html,48,33,memorable,12
Some remotely exploitable Linux kernel WiFi vulnerabilities,https://lwn.net/Articles/911062/,241,94,gundamdoubleO,13
Zero Feet: a proposal for a systems-free Lisp,https://applied-langua.ge/posts/zero-feet.html,98,17,contrapunctus,14
Uniform eXchange Format (UXF) – plain text human readable typed storage format,https://github.com/mark-summerfield/uxf,41,25,begoon,15
TikTok has an open computational chemistry position,https://careers.tiktok.com/position/7140410179162196238/detail?spread=G1DWUPV,102,70,ISL,16
Ask HN: Teaching Greybeard IT,item?id=33204579,21,22,Damogran6,17
Researchers Develop Transistor-Free Compute-in-Memory Architecture,https://www.allaboutcircuits.com/news/researchers-develop-transistor-free-compute-in-memory-architecture/,31,5,giuliomagnifico,18
"Retrowin32, a Win32 emulator",https://neugierig.org/software/blog/2022/10/retrowin32.html,127,44,ingve,19
Beacown (Linux WiFi Exploit),https://github.com/PurpleVsGreen/beacown,46,3,pdenton,20
Cooling the Earth with a sunshade near the inner Lagrange point (2006),https://www.pnas.org/doi/10.1073/pnas.0608163103,7,5,gl-prod,21
Hello World Under the Microscope,https://asawicki.info/articles/Hello_world_under_the_microscope.php5,49,6,nicopappl,22
Using an Amiga in 2021: Making an intro,https://datagubbe.se/mkdem/,155,33,bane,23
Lufthansa awkwardly abandons AirTag ban after baffling face plant,https://arstechnica.com/gadgets/2022/10/lufthansa-awkwardly-abandons-airtag-ban-after-baffling-face-plant/,55,46,rbanffy,24
JEP 431: Sequenced Collections,https://openjdk.org/jeps/431,119,45,ludovicianul,25
A DRAM Failure,https://www.complang.tuwien.ac.at/anton/failing-memory.html,73,42,pabs3,26
‘Status and Culture’ Review: Making the Cut,https://www.wsj.com/articles/status-and-culture-book-review-making-the-cut-11665151509,14,2,pepys,27
Why Wasn’t the Steam Engine Invented Earlier?,https://antonhowes.substack.com/p/age-of-invention-why-wasnt-the-steam-76c,86,100,barry-cotter,28
Ask HN: WebAuthn – Replace Password or Second Factor?,item?id=33203972,10,5,taf2,29
Apple gets $19M fine in Brazil for not selling iPhones with charger,https://www.engadget.com/apple-19-million-fine-brazil-for-not-selling-phones-with-a-charger-051025019.html,114,133,bubblehack3r,30
