title,link,score,comments,author,rank
Arecibo telescope won’t be rebuilt,https://www.nature.com/articles/d41586-022-03293-4,133 points,69 comments,pseudolus,1
Former FBI director said blockchain is easier to trace than paper money,https://lancengym.medium.com/former-fbi-director-said-blockchain-is-easier-to-trace-than-paper-money-c3400f8d9596,185 points,127 comments,threelinepitch,2
Nvidia’s Implicit Warping Is a Potentially Powerful Deepfake Technique,https://metaphysic.ai/nvidias-implicit-warping-is-a-potentially-powerful-deepfake-technique/,79 points,60 comments,Hard_Space,3
OpenBSD Minimalist Desktop,https://nechtan.io/articles/openbsd_minimalist_desktop.html,74 points,27 comments,hucste,4
Koch Method to Learn Morse,https://stendec.io/morse/koch.html,102 points,41 comments,Tomte,5
The Z80's protected mode discovered after 40 years [video],https://www.youtube.com/watch?v=DLSUAVPKeYk,223 points,92 comments,tux1968,6
New study suggests people with dark personalities weaponize victimhood,https://www.psypost.org/2021/02/new-study-suggests-people-with-dark-personalities-weaponize-victimhood-to-gain-advantage-over-others-59806,65 points,14 comments,doener,7
What We’ve Lost Playing the Lottery,https://www.newyorker.com/magazine/2022/10/24/what-weve-lost-playing-the-lottery,9 points,discuss comments,fortran77,8
Many Researchers Using Same Data and Hypothesis Reveals Universe of Uncertainty,https://osf.io/preprints/metaarxiv/cd5j9/,39 points,13 comments,Ambolia,9
"The dry-season malaria paradox, a bar to eradication, is solved",https://www.economist.com/science-and-technology/2022/10/12/the-dry-season-malaria-paradox-a-bar-to-eradication-is-solved,94 points,30 comments,sohkamyung,10
BuildZoom (better way to build custom homes) Is hiring a Product Manager,https://jobs.lever.co/buildzoom,0 points,hide comments,Unknown,11
PAGNIs: Probably Are Gonna Need Its,https://simonwillison.net/2021/Jul/1/pagnis/,42 points,12 comments,thunderbong,12
Hilma af Klint: Swedish mystic hailed as the true pioneer of abstract art,https://www.theguardian.com/artanddesign/2022/oct/16/hilma-af-klint-swedish-mystic-hailed-as-the-true-pioneer-of-abstract-art,30 points,15 comments,prismatic,13
Never trust a system that seems to be working,https://twitter.com/Foone/status/1581643197427523584,26 points,10 comments,pkilgore,14
Java Apache Commons vulnerability,https://nvd.nist.gov/vuln/detail/CVE-2022-42889,86 points,27 comments,daitangio,15
"Wasm-service: Htmx, WebAssembly, Rust, ServiceWorker proof of concept",https://github.com/richardanaya/wasm-service,178 points,60 comments,richardanaya,16
How to Build Software Like an SRE,https://www.willett.io/posts/precepts/,148 points,112 comments,kiyanwang,17
More U.S. companies charging employees for job training if they quit,https://www.reuters.com/world/us/more-us-companies-charging-employees-job-training-if-they-quit-2022-10-17/,99 points,105 comments,pseudolus,18
A computer that expands your vision by looking at the whole problem at once,https://www.computerhistory.org/brochures/doc-437295724ba41/,44 points,7 comments,gone35,19
Yagni Exceptions (2021),https://lukeplant.me.uk/blog/posts/yagni-exceptions/,156 points,136 comments,bubblehack3r,20
"Test smarter, not harder (2020)",https://lukeplant.me.uk/blog/posts/test-smarter-not-harder/,24 points,5 comments,bubblehack3r,21
The Amiga Workbench Simulator,https://taws.ch,73 points,24 comments,Lutzb,22
Why are scientists filing lawsuits against their critics? (2017),https://www.theverge.com/2017/11/27/16687956/mark-jacobson-stanford-critique-lawsuit-retraction,30 points,14 comments,Tomte,23
Ryzen 7000 amdgpu boot hang,http://aigarius.com/blog/2022/10/16/ryzen-7000-amdgpu/,106 points,105 comments,pabs3,24
"If ghosts could speak, their speech would approximate this key (1778)",https://www.listsofnote.com/p/if-ghosts-could-speak-their-speech,75 points,49 comments,breathenew,25
The Dead End,https://redmonk.com/sogrady/2022/09/23/dead-end/,69 points,26 comments,swyx,26
An Interview with Jerry Seinfeld (2017),https://hbr.org/2017/01/lifes-work-jerry-seinfeld,88 points,143 comments,uptown,27
C++ audio mixing library design,https://lisyarus.github.io/blog/programming/2022/10/15/audio-mixing.html,76 points,43 comments,ingve,28
The Graphing Calculator Story,https://www.pacifict.com/Story/,42 points,12 comments,akbarnama,29
Hex Triplet Words,https://hex-triplet-words.glitch.me/,93 points,13 comments,gregsadetsky,30
